 Maintaining 16 concurrent writes of 65536 bytes for at least 300 seconds.
 Object prefix: benchmark_data_Client_39694
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16       451       435   27.1807   27.1875  0.417957 0.0279879
     2      16      1016      1000   31.2436   35.3125  0.005177 0.0256133
     3      16      2604      2588   53.9066     99.25  0.042761 0.0173909
     4      16      3313      3297   51.5071   44.3125  0.006995 0.0193959
     5      16      3979      3963   49.5295    41.625  0.005028 0.0199601
     6      16      4300      4284   44.6179   20.0625  0.006478 0.0219028
     7      16      4401      4385   39.1458    6.3125  0.006726 0.0241606
     8      16      4438      4422   34.5419    2.3125  0.005047 0.0266469
     9      16      4438      4422    30.704         0         - 0.0266469
    10      16      4477      4461   27.8773   1.21875  0.005608 0.0357236
    11      16      4477      4461    25.343         0         - 0.0357236
    12      16      4477      4461   23.2311         0         - 0.0357236
    13      16      4477      4461   21.4441         0         - 0.0357236
    14      16      4477      4461   19.9124         0         - 0.0357236
    15      16      4477      4461   18.5849         0         - 0.0357236
    16      16      4477      4461   17.4234         0         - 0.0357236
    17      16      4620      4604   16.9242   1.27679  0.005874 0.0571205
    18      16      5509      5493   19.0704   55.5625  0.005676 0.0524212
    19      16      6452      6436   21.1682   58.9375  0.005061 0.0471157
2013-09-24 09:18:25.856773min lat: 0.003649 max lat: 6.43266 avg lat: 0.0470219
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16      6738      6722   21.0035    17.875  0.006178 0.0470219
    21      16      6930      6914   20.5746        12  0.005742 0.0479711
    22      16      6930      6914   19.6394         0         - 0.0479711
    23      16      6988      6972   18.9431    1.8125   0.04449 0.0521891
    24      15      8127      8112   21.1222     71.25  0.008257 0.0473333
    25      16      8338      8322   20.8022    13.125  0.004736 0.0462889
    26      16      8338      8322   20.0021         0         - 0.0462889
    27      16      8338      8322   19.2613         0         - 0.0462889
    28      15      8427      8412   18.7743     1.875  0.006256 0.0532556
    29      16      9262      9246   19.9241    52.125  0.005975 0.0494578
    30      16      9277      9261   19.2912    0.9375   0.38528 0.0497151
    31      16     10541     10525    21.217        79  0.009511 0.0471225
    32      16     10859     10843    21.175    19.875  0.670713 0.0468571
    33      16     12540     12524   23.7166   105.062  0.006018 0.0418293
    34      16     12622     12606   23.1697     5.125  0.006418  0.043148
    35      16     13376     13360    23.854    47.125  0.005532 0.0418397
    36      16     14090     14074   24.4308    44.625  0.006033 0.0408704
    37      16     14575     14559   24.5896   30.3125  0.005028 0.0402328
    38      16     14578     14562   23.9475    0.1875    1.1472 0.0404609
    39      16     14593     14577   23.3575    0.9375   2.34518 0.0413708
2013-09-24 09:18:45.859435min lat: 0.003537 max lat: 6.43266 avg lat: 0.0414403
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      16     14596     14580   22.7782    0.1875  0.005815 0.0414403
    41      16     14610     14594    22.244     0.875   4.38562 0.0434575
    42      16     14633     14617   21.7486    1.4375  0.005539 0.0445178
    43      16     14683     14667   21.3155     3.125  0.005696 0.0461961
    44      16     14735     14719   20.9049      3.25  0.006315 0.0470836
    45      16     14750     14734   20.4612    0.9375   0.00558 0.0472113
    46      16     14784     14768   20.0625     2.125  0.006971 0.0486615
    47      16     14784     14768   19.6357         0         - 0.0486615
    48      16     16112     16096   20.9556      41.5  0.006667 0.0477132
    49      16     17052     17036   21.7267     58.75  0.005842 0.0458243
    50      16     17472     17456   21.8171     26.25   0.38079 0.0455396
    51      16     17519     17503   21.4469    2.9375  0.006997 0.0464202
    52      16     17527     17511   21.0441       0.5  0.007115 0.0465158
    53      16     17527     17511    20.647         0         - 0.0465158
    54      16     17551     17535   20.2925      0.75  0.005823 0.0484188
    55      16     17562     17546    19.936    0.6875  0.005961 0.0484531
    56      16     17562     17546     19.58         0         - 0.0484531
    57      16     17906     17890   19.6137     10.75  0.005634 0.0506017
    58      16     18904     18888   20.3508    62.375  0.032779 0.0491187
    59      16     19313     19297   20.4391   25.5625  0.005821 0.0486337
2013-09-24 09:19:05.862015min lat: 0.003537 max lat: 6.43266 avg lat: 0.0488628
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    60      16     19379     19363   20.1671     4.125   0.00585 0.0488628
    61      16     19460     19444   19.9195    5.0625  0.006724 0.0497412
    62      16     19460     19444   19.5982         0         - 0.0497412
    63      16     20819     20803   20.6352   42.4688  0.005017 0.0484532
    64      16     20937     20921    20.428     7.375  0.005066 0.0482383
    65      16     22243     22227   21.3693    81.625  0.006717 0.0467898
    66      16     23033     23017   21.7935    49.375  0.201936   0.04575
    67      16     23386     23370   21.7975   22.0625  0.005476 0.0456038
    68      16     23386     23370    21.477         0         - 0.0456038
    69      16     23386     23370   21.1657         0         - 0.0456038
    70      16     23386     23370   20.8633         0         - 0.0456038
    71      16     23386     23370   20.5695         0         - 0.0456038
    72      16     23386     23370   20.2838         0         - 0.0456038
    73      16     23466     23450   20.0744  0.833333  0.005018 0.0493958
    74      16     23510     23494   19.8403      2.75  0.006522 0.0501258
    75      16     23525     23509   19.5883    0.9375  0.006516 0.0502575
    76      16     24312     24296   19.9777   49.1875  0.004883 0.0500446
    77      16     24855     24839   20.1589   33.9375  0.005064 0.0493204
    78      16     24855     24839   19.9005         0         - 0.0493204
    79      16     24894     24878   19.6794   1.21875  0.006024 0.0505014
2013-09-24 09:19:25.864532min lat: 0.003537 max lat: 6.43266 avg lat: 0.0480334
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    80      16     26654     26638   20.8082       110  0.005547 0.0480334
    81      16     26855     26839   20.7064   12.5625  0.006133 0.0481398
    82      16     27143     27127   20.6734        18  0.005204 0.0482674
    83      16     27143     27127   20.4243         0         - 0.0482674
    84      16     27143     27127   20.1811         0         - 0.0482674
    85      16     27312     27296    20.068   3.52083  0.009018 0.0497943
    86      16     27365     27349   19.8731    3.3125  0.005753 0.0502716
    87      16     27369     27353   19.6476      0.25  0.006021 0.0502651
    88      16     29039     29023   20.6102   104.375  0.008706 0.0485156
    89      16     29340     29324     20.59   18.8125  0.005539 0.0481812
    90      16     29390     29374   20.3959     3.125  0.298745  0.048616
    91      16     29393     29377   20.1739    0.1875    2.5898 0.0488056
    92      16     29890     29874   20.2922   31.0625  0.005195 0.0491436
    93      16     29890     29874    20.074         0         - 0.0491436
    94      16     29890     29874   19.8605         0         - 0.0491436
    95      16     29890     29874   19.6514         0         - 0.0491436
    96      16     29949     29933   19.4851  0.921875  0.006121 0.0511918
    97      15     30793     30778   19.8286   52.8125  0.025214 0.0504191
    98      16     31297     31281    19.947   31.4375  0.004936 0.0500649
    99      16     31369     31353    19.791       4.5  0.005707 0.0501472
2013-09-24 09:19:45.867042min lat: 0.003537 max lat: 6.43266 avg lat: 0.0507324
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   100      16     31461     31445   19.6506      5.75   0.00592 0.0507324
   101      16     31461     31445   19.4518         0         - 0.0507324
   102      16     31684     31668   19.3977   6.96875  0.005297 0.0515464
   103      16     31706     31690   19.2228     1.375  0.006077 0.0515141
   104      16     31706     31690    19.038         0         - 0.0515141
   105      16     31713     31697   18.8609   0.21875  0.005755 0.0515669
   106      16     31713     31697    18.683         0         - 0.0515669
   107      16     31713     31697   18.5084         0         - 0.0515669
   108      16     31713     31697   18.3371         0         - 0.0515669
   109      16     31713     31697   18.1689         0         - 0.0515669
   110      16     31713     31697   18.0038         0         - 0.0515669
   111      16     31713     31697   17.8416         0         - 0.0515669
   112      16     31713     31697   17.6823         0         - 0.0515669
   113      16     31713     31697   17.5259         0         - 0.0515669
   114      16     31713     31697   17.3722         0         - 0.0515669
   115      16     31713     31697   17.2211         0         - 0.0515669
   116      16     31713     31697   17.0727         0         - 0.0515669
   117      16     31713     31697   16.9268         0         - 0.0515669
   118      16     31713     31697   16.7834         0         - 0.0515669
   119      16     32466     32450   17.0377   3.36161  0.004981 0.0584511
2013-09-24 09:20:05.891427min lat: 0.003537 max lat: 16.2363 avg lat: 0.0585491
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   120      16     32484     32468   16.9052     1.125  0.006174 0.0585491
   121      16     33010     32994   17.0371    32.875  0.005388 0.0586904
   122      16     34100     34084   17.4557    68.125  0.005877 0.0572591
   123      16     34251     34235   17.3905    9.4375  0.042448  0.057334
   124      16     34681     34665   17.4669    26.875  0.006239 0.0571891
   125      16     34681     34665   17.3272         0         - 0.0571891
   126      16     34681     34665   17.1897         0         - 0.0571891
   127      16     34681     34665   17.0544         0         - 0.0571891
   128      16     36057     36041   17.5929      21.5  0.004823 0.0568279
   129      16     36316     36300    17.582   16.1875   0.00528 0.0565453
   130      16     36316     36300   17.4467         0         - 0.0565453
   131      16     36326     36310   17.3184    0.3125   2.66388 0.0571811
   132      16     36330     36314   17.1891      0.25   3.19184 0.0573067
   133      16     36367     36351   17.0772    2.3125  0.006093 0.0582588
   134      16     36400     36384   16.9652    2.0625  0.006155 0.0586599
   135      16     36404     36388   16.8414      0.25  0.044393 0.0586808
   136      16     36404     36388   16.7176         0         - 0.0586808
   137      16     36465     36449   16.6234   1.90625  0.006049 0.0598425
   138      16     36799     36783   16.6542    20.875  0.005938 0.0598666
   139      16     36799     36783   16.5344         0         - 0.0598666
2013-09-24 09:20:25.893969min lat: 0.003537 max lat: 16.2363 avg lat: 0.0603756
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   140      16     37125     37109   16.5618   10.1875  0.008005 0.0603756
   141      16     39031     39015    17.289   119.125   0.00603 0.0577975
   142      16     39791     39775   17.5017      47.5  0.043777 0.0571126
   143      16     40479     40463   17.6799        43  0.006064 0.0564898
   144      16     40577     40561   17.5997     6.125  0.005569  0.056549
   145      16     41211     41195   17.7515    39.625  0.005159 0.0562686
   146      16     41602     41586   17.7973   24.4375  0.004826 0.0561813
   147      16     41816     41800   17.7672    13.375  0.005647 0.0561484
   148      16     41895     41879   17.6805    4.9375  0.044542 0.0563409
   149      16     41895     41879   17.5619         0         - 0.0563409
   150      16     41895     41879   17.4448         0         - 0.0563409
   151      16     41895     41879   17.3293         0         - 0.0563409
   152      16     41933     41917   17.2309   0.59375  0.152795 0.0578288
   153      16     43377     43361    17.708     90.25    0.0054 0.0564554
   154      16     44136     44120    17.901   47.4375  0.006351 0.0558218
   155      16     44424     44408   17.9016        18  0.006114 0.0557974
   156      16     44691     44675   17.8938   16.6875  0.005423 0.0558062
   157      16     44890     44874   17.8591   12.4375   0.00517 0.0558433
   158      16     45180     45164   17.8607    18.125  0.010629 0.0559848
   159      16     45328     45312   17.8066      9.25  0.005131 0.0559197
2013-09-24 09:20:45.896543min lat: 0.003537 max lat: 16.2363 avg lat: 0.0559197
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   160      16     45328     45312   17.6953         0         - 0.0559197
   161      16     45328     45312   17.5854         0         - 0.0559197
   162      16     45328     45312   17.4769         0         - 0.0559197
   163      16     45349     45333   17.3777  0.328125   0.27762 0.0572861
   164      16     45349     45333   17.2718         0         - 0.0572861
   165      16     45352     45336   17.1682   0.09375  0.005347 0.0573857
   166      16     45369     45353   17.0712    1.0625   0.14789 0.0578685
   167      16     45374     45358   16.9709    0.3125    0.7877 0.0578906
   168      16     45374     45358   16.8699         0         - 0.0578906
   169      16     45374     45358   16.7701         0         - 0.0578906
   170      16     45374     45358   16.6715         0         - 0.0578906
   171      16     45374     45358    16.574         0         - 0.0578906
   172      16     45374     45358   16.4776         0         - 0.0578906
   173      16     45374     45358   16.3824         0         - 0.0578906
   174      16     45374     45358   16.2882         0         - 0.0578906
   175      16     45374     45358   16.1952         0         - 0.0578906
   176      16     45374     45358   16.1032         0         - 0.0578906
   177      16     45374     45358   16.0122         0         - 0.0578906
   178      16     45374     45358   15.9223         0         - 0.0578906
   179      16     45374     45358   15.8333         0         - 0.0578906
2013-09-24 09:21:05.899012min lat: 0.003537 max lat: 17.0093 avg lat: 0.0630721
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   180      16     45512     45496   15.7933  0.663462  0.005397 0.0630721
   181      16     45536     45520   15.7143       1.5  0.006506 0.0632078
   182      16     46735     46719   16.0396   74.9375  0.006307 0.0622684
   183      16     47407     47391   16.1814        42  0.006122 0.0616719
   184      16     47474     47458   16.1163    4.1875  0.005554 0.0618609
   185      16     47486     47470   16.0332      0.75  0.005847 0.0619172
   186      16     47535     47519   15.9635    3.0625  0.006379 0.0625979
   187      16     48852     48836   16.3182   82.3125  0.005126 0.0612722
   188      16     49638     49622   16.4926    49.125  0.209576 0.0606103
   189      16     50131     50115   16.5684   30.8125  0.005683 0.0602136
   190      16     50131     50115   16.4812         0         - 0.0602136
   191      16     50131     50115   16.3949         0         - 0.0602136
   192      16     50146     50130   16.3144    0.3125   0.00598 0.0606702
   193      16     50146     50130   16.2299         0         - 0.0606702
   194      16     50170     50154    16.154      0.75  0.006334 0.0615778
   195      16     50202     50186   16.0814         2  0.005507 0.0618171
   196      16     50202     50186   15.9994         0         - 0.0618171
   197      16     50202     50186   15.9182         0         - 0.0618171
   198      16     50202     50186   15.8378         0         - 0.0618171
   199      16     50202     50186   15.7582         0         - 0.0618171
2013-09-24 09:21:25.901573min lat: 0.003537 max lat: 17.0093 avg lat: 0.06249
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   200      16     50217     50201   15.6841    0.1875  0.006115   0.06249
   201      16     50217     50201   15.6061         0         -   0.06249
   202      16     50233     50217   15.5338       0.5  0.005523 0.0629389
   203      16     50233     50217   15.4573         0         - 0.0629389
   204      16     50285     50269   15.3974     1.625  0.006522 0.0649423
   205      16     51816     51800    15.789   95.6875  0.005499 0.0633307
   206      16     52892     52876   16.0387     67.25  0.004754 0.0623394
   207      16     53269     53253   16.0751   23.5625  0.004936 0.0621264
   208      16     53362     53346   16.0257    5.8125  0.005792 0.0623058
   209      16     53374     53358   15.9526      0.75  0.505839 0.0623716
   210      16     53404     53388   15.8856     1.875  0.005081 0.0628146
   211      16     53404     53388   15.8103         0         - 0.0628146
   212      16     53425     53409   15.7419   0.65625  0.006421 0.0631506
   213      16     53425     53409    15.668         0         - 0.0631506
   214      16     53425     53409   15.5948         0         - 0.0631506
   215      16     53425     53409   15.5223         0         - 0.0631506
   216      16     53425     53409   15.4505         0         - 0.0631506
   217      16     53479     53463   15.3948     0.675  0.005823 0.0648719
   218      16     53881     53865   15.4394    25.125  0.005016 0.0645923
   219      16     53893     53877   15.3724      0.75   0.00549 0.0646631
2013-09-24 09:21:45.903985min lat: 0.003537 max lat: 17.0093 avg lat: 0.0651988
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   220      16     54014     53998   15.3369    7.5625  0.006658 0.0651988
   221      16     55743     55727   15.7563   108.062  0.006056 0.0634434
   222      16     55749     55733   15.6871     0.375  0.006451 0.0634519
   223      16     56238     56222   15.7537   30.5625  0.007699 0.0634737
   224      16     56868     56852   15.8592    39.375  0.044733 0.0629207
   225      16     56983     56967   15.8206    7.1875  0.009081 0.0632014
   226      16     57064     57048    15.773    5.0625  0.043775 0.0633286
   227      16     57064     57048   15.7035         0         - 0.0633286
   228      16     57064     57048   15.6347         0         - 0.0633286
   229      16     57100     57084   15.5762      0.75    0.1695 0.0641597
   230      16     58530     58514    15.897    89.375  0.011686  0.062893
   231      16     59645     59629   16.1298   69.6875  0.005957 0.0619676
   232      16     60007     59991   16.1578    22.625  0.005458 0.0618001
   233      16     60229     60213    16.148    13.875  0.005783 0.0619234
   234      16     61522     61506   16.4243   80.8125  0.005394 0.0608505
